Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;РФФИ(И)-00436/16;НГУ ФЕН;ЛРМА;Синтез и моделирование новых высокотемпературных регенерируемых сорбентов диокосида углерода;Деревщиков Владимир Сергеевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;900 000,00;Грант;;Бюджетное;НИР;Моделирование;Химия и новые материалы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;"31.15.19: ХИМИЯ ТВЕРДОГО ТЕЛА; 
31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ; 
31.15.37: ХИМИЯ КОЛЛОИДОВ. ДИСПЕРСНЫЕ СИСТЕМЫ";4;
Аксенова Н.В.;;19-33-90097\19;НГУ ФЕН;ЛФМОКиСС;Синтез и физико-химическое исследование новых трех- и четырехъядерных кластерных комплексов молибдена и вольфрама;Гущин Артем Леонидович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Химия и новые материалы;31: ХИМИЯ;31.17: НЕОРГАНИЧЕСКАЯ ХИМИЯ. КОМПЛЕКСНЫЕ СОЕДИНЕНИЯ;"31.17.15: НЕОРГАНИЧЕСКАЯ ХИМИЯ; 
31.17.29: КОМПЛЕКСНЫЕ СОЕДИНЕНИЯ
";4;
Аксенова Н.В.;;19-33-60087;НГУ ФФ;ЛСДУиНС;Скрининг металл-органических координационных полимеров для извлечения гелия из природного газа;Гренев Иван Васильевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;7 500 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"31: ХИМИЯ; 
61: ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ. ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ
";"31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
61.51: ПЕРЕРАБОТКА ПРИРОДНЫХ ГАЗОВ, НЕФТИ, ГАЗОВОГО КОНДЕНСАТА, ИХ ПРОДУК-ТОВ И АНАЛОГОВ. МОТОРНОЕ ТОПЛИВО. СМАЗОЧНЫЕ МАТЕРИАЛЫ";"31.15.35: ПОВЕРХНОСТНЫЕ ЯВЛЕНИЯ. АДСОРБЦИЯ. ХРОМАТОГРАФИЯ. ИОННЫЙ ОБМЕН; 
61.13.19: ДИФФУЗИОННЫЕ ПРОЦЕССЫ. МЕМБРАННЫЕ ПРОЦЕССЫ; 
61.51.21: ТЕХНОЛОГИЯ ПЕРЕРАБОТКИ ПРИРОДНЫХ И НЕФТЯНЫХ ГАЗОВ, ГАЗОВОГО КОНДЕНСАТА";5;
Аксенова Н.В.;;19-33-90041\19;НГУ ФЕН;ЛЭКП;Скрининг системы ZrW2-xMoxO8 (0<=x<=2) под воздействием давления для создания совершенных изделий, работающих в экстремальных условиях.;Губанов Александр Иридиевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.17: НЕОРГАНИЧЕСКАЯ ХИМИЯ. КОМПЛЕКСНЫЕ СОЕДИНЕНИЯ;31.17.15: НЕОРГАНИЧЕСКАЯ ХИМИЯ;4;
Аксенова Н.В.;;19-41-543004;НГУ ММФ;ЛПВ;Современные методы компьютерного анализа текстов;Чебунин Михаил Георгиевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;27.43: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И МАТЕМАТИЧЕСКАЯ СТАТИСТИКА;27.43.15: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И СЛУЧАЙНЫЕ ПРОЦЕССЫ;1;
Аксенова Н.В.;;Задание № 8.11900.2018/11.12;НГУ ГГФ;ЛГМР;Создание аэрогеофизического гамма-спектрометрического комплекса для мониторинга окружающей среды, геологической съемки Земли;Филимонова Ирина Викторовна;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;20 000 000,00;Грант;;Бюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;"38: ГЕОЛОГИЯ; 
37: ГЕОФИЗИКА";"38.59: ТЕХНИКА И ТЕХНОЛОГИЯ ГЕОЛОГО-РАЗВЕДОЧНЫХ РАБОТ; 
38.57: МЕТОДЫ ПОИСКОВ И РАЗВЕДКИ МЕСТОРОЖДЕНИЙ ПОЛЕЗНЫХ ИСКОПАЕМЫХ; 
37.31: ФИЗИКА ЗЕМЛИ";"38.59.21: ОБОРУДОВАНИЕ ГОРНО-РАЗВЕДОЧНЫХ РАБОТ; 
38.57.19: ПОИСКИ, РАЗВЕДКА И ОЦЕНКА МЕСТОРОЖ-ДЕНИЙ НЕФТИ, ГАЗА И КОНДЕНСАТА; 
37.31.02: ОБЩИЕ ПРОБЛЕМЫ";6;
Аксенова Н.В.;;Задание № 8.12092.2018/10.11;НГУ ГГФ;ЛГМР;Создание аэрогеофизического градиентометрического комплекса для работы по гуманитарному разминированию;Филимонова Ирина Викторовна;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;10 000 000,00;Грант;;Бюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;"38: ГЕОЛОГИЯ; 
37: ГЕОФИЗИКА";"38.59: ТЕХНИКА И ТЕХНОЛОГИЯ ГЕОЛОГО-РАЗВЕДОЧНЫХ РАБОТ; 
38.57: МЕТОДЫ ПОИСКОВ И РАЗВЕДКИ МЕСТОРОЖДЕНИЙ ПОЛЕЗНЫХ ИСКОПАЕМЫХ; 
37.31: ФИЗИКА ЗЕМЛИ";"38.59.21: ОБОРУДОВАНИЕ ГОРНО-РАЗВЕДОЧНЫХ РАБОТ; 
38.57.19: ПОИСКИ, РАЗВЕДКА И ОЦЕНКА МЕСТОРОЖ-ДЕНИЙ НЕФТИ, ГАЗА И КОНДЕНСАТА; 
37.31.02: ОБЩИЕ ПРОБЛЕМЫ";6;
Ерманюк Е.И.;;РНФ 18-77-00043;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Создание и исследование метода адаптивного направленного приема для микросейсмического мониторинга разработки нефтяной залежи с дневной поверхности;"Сердюков 
Александр Сергеевич";Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;2;
Ерманюк Е.И.;;РФФИ 18-35-20030 ;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Создание и исследование новых адаптивных методов частотно-временной и пространственно-временной спектральной фильтрации сейсмических сигналов;"Сердюков 
Александр Сергеевич";Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;4 000 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;2;
Аксенова Н.В.;;МЦ № 1.4511.2016/БЧ;НГУ ММФ;ММЦ НГУ;Создание и обеспечение функционирования международного научно-образовательного математического центра НГУ;Васильев Андрей Викторович;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;25 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;;;;4;
Ерманюк Е.И.;;РФФИ 19-45-54007;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Создание интеллектуальной системы сейсмического мониторинга на основе алгоритмов машинного обучения;"Дучков 
Антон Альбертович";Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;700 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;3;
Медных Д.А.;;№ 419-05 от 22.04.2019;ИНГГ СО РАН;Лаб.теоретических основ прогноза НГ ;Создание информационной базы данных для проведения количественной оценки ресурсов углеводородного сырья на территории Лено-Вилюйской НГП, Лено-Анабарской НГО и Анабаро-Хатангской НГО Лено-Тунгусской НГП;Бурштейн Лев Маркович;ВНИГНИ ФГБУ;Нефть/Газ;4 000 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;;
Аксенова Н.В.;;РНФ №14-37-00030-П;НГУ ГГФ;ЛГиПЦиВА;"Создание новой лаборатории ""Геодинамика и палеомагнетизм Центральной и Восточной Арктики""";Верниковский Валерий Арнольдович;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;38 000 000,00;Грант;;Бюджетное;НИОКР;Формирование функциональности системы;Подходы и методы;"38: ГЕОЛОГИЯ; 
37: ГЕОФИЗИКА";"38.17: ТЕКТОНИКА; 
37.15: ГЕОМАГНЕТИЗМ И ВЫСОКИЕ СЛОИ АТМОСФЕРЫ";"38.17.91: РЕГИОНАЛЬНАЯ ТЕКТОНИКА; 
38.17.21: ПАЛЕОТЕКТОНИЧЕСКИЕ РЕКОНСТРУКЦИИ; 
37.15.03: ПРИБОРЫ И МЕТОДЫ ИССЛЕДОВАНИЙ ГЕОМАГНЕТИЗМА И ВЫСОКИХ СЛОЕВ АТМОСФЕРЫ";5;
Ерманюк Е.И.;;№ 4633;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Создание программного модуля для интерпретации данных микросейсмических событий, сопровождающих распространение трещин ГРП;"Дучков 
Антон Альбертович";Сколковский институт науки и технологий;Образование высшее;10 000 000,00;Не грант;Нет;Внебюджетное;НИОКР;Разработка и тестирование модели/прототипа под гипотезу;Разработка ПО;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;4;
